dataset,sample_id,image_path,gt_mask_path,pred_mask_path,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy,tp_pixels,fp_pixels,fn_pixels,tn_pixels
culane,driver_100_30frame_05250523_0308.MP4_04200,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04200.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04200.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04200.png,0.13930817610062893,0.2445487165330355,0.9504398197811627,0.14032753650733315,0.14032753650733315,0.5554457966791131,0.9717135179826375,4430,231,27139,935800
culane,driver_100_30frame_05250523_0308.MP4_04230,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04230.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04230.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04230.png,0.14506886180148804,0.2533801531780897,0.9965202261852978,0.14514238651841996,0.14514238651841996,0.558514443735395,0.9720928069450187,4582,16,26987,936015
culane,driver_100_30frame_05250523_0308.MP4_04260,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04260.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04260.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04260.png,0.1394022151418601,0.2446936003619256,0.7682274247491637,0.14552250625613736,0.14552250625613736,0.5549758618299897,0.9706893344357173,4594,1386,26975,934645
culane,driver_100_30frame_05250523_0308.MP4_04290,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04290.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04290.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04290.png,0.14607523649824405,0.2549138692577265,0.9918367346938773,0.14625106908676233,0.14625106908676233,0.5590238713813165,0.9721062422488632,4617,38,26952,935993
culane,driver_100_30frame_05250523_0308.MP4_04320,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04320.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04320.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04320.png,0.131355421686747,0.2322089401237967,0.7278037383177569,0.1381418480154582,0.1381418480154582,0.5507079058417073,0.9701953286482017,4361,1631,27208,934400
culane,driver_100_30frame_05250523_0308.MP4_04350,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04350.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04350.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04350.png,0.1402003317596019,0.24592227848781303,0.7221491948734801,0.14819435546414,0.14819435546414,0.5561088556187455,0.9721444811905746,4395,1691,25262,936252
culane,driver_100_30frame_05250523_0308.MP4_04380,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04380.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04380.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04380.png,0.05200800123095861,0.09887377504739023,0.6270871985157698,0.05366783105747856,0.05366783105747856,0.5100578979765171,0.9681634973129393,1690,1005,29800,935105
culane,driver_100_30frame_05250523_0308.MP4_04410,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04410.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04410.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04410.png,0.16049886906257854,0.2766032321808059,0.9941622883829537,0.16065027356770015,0.16065027356770015,0.5663672268015546,0.9723821827201323,5109,30,26693,935768
culane,driver_100_30frame_05250523_0308.MP4_04440,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04440.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04440.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04440.png,0.15709190497420547,0.27152882895256497,0.9967670236411394,0.15717198751035494,0.15717198751035494,0.5647982079399229,0.9726446878875569,4933,16,26453,936198
culane,driver_100_30frame_05250523_0308.MP4_04470,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04470.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04470.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04470.png,0.1240692479523455,0.22075018630431312,0.8211498973305953,0.12751506648384936,0.12751506648384936,0.5473848882453048,0.9708216205043406,3999,871,27362,935368
